graph_id,stress,xing,xangle,iangle,ring
grafo2407.33,39.764835,3.0,2.3423822,138.64394,81.33663
grafo2408.18,11.582098,3.0,0.34046954,70.70462,40.3959
grafo2409.15,6.7747,1.0,0.90108114,55.709282,28.157923
grafo2410.22,10.993869,1.0,0.20577666,84.67816,30.098465
grafo2411.56,245.407,41.0,21.437407,235.85907,261.76657
grafo2412.50,143.71922,11.0,4.0399213,208.01993,140.71777
grafo2413.16,5.924687,0.0,0.0,60.029106,26.580498
grafo2414.15,11.829283,3.0,0.90697867,57.988865,36.72885
grafo2415.13,3.3531852,0.0,0.0,48.32499,15.640153
grafo2416.21,17.651081,2.0,0.35274085,82.05552,37.882607
grafo2417.14,8.052539,1.0,0.46952808,56.55227,27.41842
grafo2418.17,8.4355755,1.0,0.052905932,68.72456,26.885056
grafo2419.14,7.725676,2.0,1.9278514,55.790695,24.840578
grafo2420.16,11.750202,1.0,0.027561145,66.97678,29.93264
grafo2421.17,9.622661,0.0,0.0,66.487724,27.94949
grafo2422.20,16.682291,4.0,1.1225662,86.495224,47.93463
grafo2423.21,12.28633,2.0,0.6990348,82.13292,36.3104
grafo2424.35,50.231667,4.0,2.0719035,152.3038,81.78608
grafo2425.19,11.137797,1.0,0.31592613,70.909164,37.665977
grafo2426.12,7.6387973,2.0,1.1987607,50.521835,27.644125
grafo2427.19,21.816668,2.0,0.3083427,78.605835,49.100895
grafo2428.19,11.251914,1.0,0.010674948,73.54977,35.718243
grafo2429.27,41.095226,9.0,4.286561,114.583084,80.04199
grafo2430.14,5.952915,0.0,0.0,57.36198,20.286043
grafo2431.86,451.13892,28.0,14.059927,368.96405,356.3759
grafo2432.15,10.187625,1.0,0.77194774,58.696743,29.90363
grafo2433.11,2.0429468,0.0,0.0,48.2631,13.233528
grafo2434.21,9.83304,2.0,0.49478304,82.375435,43.16491
grafo2435.18,19.841537,4.0,1.2458141,70.65042,49.420326
grafo2436.28,40.849545,5.0,1.1695535,108.10903,77.241646
grafo2437.25,32.666264,3.0,0.6781101,97.86993,57.114265
grafo2438.18,8.419296,1.0,0.15018426,62.23481,33.37855
grafo2439.12,3.2206354,0.0,0.0,49.31727,15.851167
grafo2440.16,16.887064,2.0,1.7626189,57.25785,36.637558
grafo2441.16,11.570014,1.0,0.5607582,64.28448,32.334774
grafo2442.14,6.9978156,0.0,0.0,55.179348,24.688894
grafo2443.22,32.2069,10.0,3.5557077,77.21159,62.461277
grafo2444.29,29.82661,2.0,0.8417083,119.889824,66.42478
grafo2445.26,17.518854,4.0,3.4720788,103.88964,48.185337
grafo2446.46,135.97403,14.0,5.034394,188.86133,144.26794
grafo2447.39,134.99547,42.0,22.219381,159.66403,183.86304
grafo2448.15,9.216526,3.0,0.7271298,60.406956,35.54939
grafo2449.19,17.299961,3.0,1.1353501,69.164604,42.91106
grafo2450.14,3.6949363,0.0,0.0,58.410187,16.244583
grafo2451.17,7.3418436,0.0,0.0,71.942116,27.277988
grafo2452.25,27.434746,3.0,0.85425925,96.25289,59.51576
grafo2453.22,33.26909,7.0,2.7251804,87.64082,59.717113
grafo2454.34,64.719734,9.0,5.283243,145.20819,105.00664
grafo2455.40,85.060265,15.0,5.9797683,161.42668,141.22333
